GEO,Legis,@Map,POP,0-4,5 to 17,18-34,35-64,65+,White,Black,AIAN,Asian,NHPI,Oth,Tworace,bipoc,Hisp,NoHS,HS,SmCol,Bach,LFP,Pov,nearpov,deeppov,ownb,rentb,med,nohi,SNAP,OASDI,0-4r,5-17r,18-34r,35-64r,65+r,Whiter,Blackr,AIANr,Asianr,NHPIr,Othr,Tworacer,bipocr,Hispr,NoHSr,HSr,SmColr,Bachr,LFPr,Povr,nearpovr,deeppovr,Ownbr,rentbr,medr,nohir,SNAPr,OASDIr
House District 49,Representative Jim Thomas,HD49.jpg,"120,714","7,514","20,482","25,875","45,467","21,376","90,038","19,226",21,"2,039",10,"1,401","7,979","33,023","4,644","7,775","28,330","26,795","20,129","57,735","24,449","46,990","10,499","4,678","10,264","30,746","9,479","9,811","16,475",6.20%,17.00%,21.40%,37.70%,17.70%,74.60%,15.90%,0.00%,1.70%,<0.05%,1.20%,6.80%,27.40%,3.80%,9.40%,34.10%,32.30%,24.20%,62.30%,20.80%,40.00%,8.90%,16.10%,49.00%,25.90%,8.00%,19.20%,32.20%
House District 50,Representative Reggie Stoltzfus,HD50.jpg,"112,104","5,804","16,586","21,843","44,705","23,166","102,487","4,419",237,316,24,435,"4,186","10,391","1,837","6,220","34,984","24,932","14,777","58,062","11,073","30,577","5,013","4,856","4,813","17,361","5,048","5,107","16,873",5.20%,14.80%,19.50%,39.90%,20.70%,91.40%,3.90%,0.20%,0.30%,<0.05%,0.40%,3.60%,9.30%,1.60%,7.70%,43.20%,30.80%,18.30%,63.90%,10.00%,27.70%,4.50%,14.20%,40.00%,15.70%,4.60%,10.80%,35.80%
House District 51,Representative Brett Hillyer,HD51.jpg,"113,681","6,993","19,196","21,432","44,134","21,926","109,383",978,100,362,-,357,"2,501","6,439","3,271","8,971","36,638","19,623","13,833","55,596","13,783","35,290","5,305","5,288","5,095","17,088","9,911","5,904","16,630",6.20%,16.90%,18.90%,38.80%,19.30%,96.20%,0.90%,0.10%,0.30%,-,0.30%,2.10%,5.70%,2.90%,11.30%,46.30%,24.80%,17.50%,62.40%,12.30%,31.50%,4.70%,16.20%,44.40%,15.20%,8.80%,12.90%,36.40%
House District 52,Representative Gayle Manning,HD52.jpg,"113,446","6,772","19,239","22,340","44,288","20,807","94,366","9,173",74,"1,340",18,"1,165","7,310","23,874","8,921","6,676","23,659","27,428","21,252","57,257","14,454","31,821","6,805","5,989","5,991","18,259","6,273","5,441","15,483",6.00%,17.00%,19.70%,39.00%,18.30%,83.20%,8.10%,0.10%,1.10%,<0.05%,1.00%,6.30%,21.00%,7.90%,8.40%,29.90%,34.70%,26.90%,63.80%,12.80%,28.30%,6.00%,18.20%,47.50%,16.20%,5.60%,11.70%,33.30%
House District 53,Representative Joe Miller,HD53.jpg,"123,597","7,749","21,931","22,868","49,140","21,909","96,748","11,808",496,"1,832",13,"3,298","9,402","37,522","20,067","8,486","25,669","28,635","22,024","59,269","19,245","37,945","8,531","6,258","6,851","24,291","6,686","7,188","16,654",6.30%,17.70%,18.50%,39.80%,17.70%,78.30%,9.60%,0.40%,1.60%,<0.05%,2.80%,8.10%,30.40%,16.20%,10.00%,30.30%,33.80%,26.00%,61.30%,15.70%,31.00%,7.00%,18.40%,47.60%,19.80%,5.40%,14.40%,33.20%
House District 54,Representative Dick Stein,HD54.jpg,"121,287","5,302","17,948","24,823","48,556","24,658","110,642","3,568",284,690,-,761,"5,342","14,062","6,105","7,018","30,455","27,225","21,358","57,626","9,982","25,877","4,285","6,842","3,474","12,219","5,839","3,095","17,535",4.40%,14.80%,20.50%,40.00%,20.30%,91.20%,2.90%,0.20%,0.60%,-,0.70%,4.60%,11.60%,5.00%,8.20%,35.40%,31.60%,24.80%,61.90%,8.80%,22.80%,3.80%,19.00%,37.40%,10.50%,5.00%,6.70%,37.80%
House District 55,Representative Scott Lipps,HD55.jpg,"120,929","7,273","22,723","21,972","49,757","19,204","112,949","1,472",86,"1,861",5,772,"3,784","9,778","3,480","4,636","23,195","22,658","30,667","62,669","6,013","16,704","2,808","5,116","2,672","8,429","4,025","1,981","13,780",6.00%,18.80%,18.20%,41.10%,15.90%,93.40%,1.20%,0.10%,1.60%,<0.05%,0.70%,3.20%,8.10%,2.90%,5.70%,28.60%,27.90%,37.80%,66.60%,5.00%,13.90%,2.30%,13.70%,43.00%,7.00%,3.30%,4.50%,31.10%
House District 56,Representative Adam Mathews,HD56.jpg,"118,627","6,187","22,666","23,980","50,442","15,352","93,688","7,037",77,"13,447",-,"1,099","3,279","27,343","3,715","4,121","18,687","17,309","40,941","59,937","5,142","15,837","2,445","4,770","3,508","6,419","4,339","1,724","10,838",5.20%,19.10%,20.20%,42.50%,12.90%,79.00%,5.90%,0.10%,11.50%,-,0.90%,2.80%,23.00%,3.10%,5.10%,23.10%,21.40%,50.50%,69.40%,4.60%,14.20%,2.20%,15.40%,31.40%,5.70%,3.90%,4.00%,25.40%
House District 57,Representative Jamie Callender,HD57.jpg,"125,502","6,544","20,799","22,583","50,999","24,577","112,093","4,432",138,"1,301",63,"2,734","4,741","17,657","8,640","6,955","27,265","28,437","26,387","65,059","10,036","26,323","3,728","7,007","3,834","14,486","6,574","3,811","17,742",5.20%,16.60%,18.00%,40.60%,19.60%,89.30%,3.50%,0.10%,1.10%,0.10%,2.30%,4.10%,14.10%,6.90%,7.80%,30.60%,31.90%,29.60%,65.20%,8.10%,21.30%,3.00%,17.80%,39.50%,11.60%,5.30%,7.70%,35.60%
House District 58,Representative Al Cutrona,HD58.jpg,"120,123","6,076","17,886","23,818","47,395","24,948","103,646","6,883",226,"1,674",36,"1,972","5,686","19,474","7,091","5,632","31,510","25,868","24,333","63,815","14,579","34,501","5,831","6,069","5,280","21,878","5,058","6,636","18,834",5.10%,14.90%,19.80%,39.50%,20.80%,86.30%,5.70%,0.20%,1.40%,<0.05%,1.70%,4.90%,16.20%,5.90%,6.40%,36.10%,29.60%,27.90%,65.30%,12.30%,29.10%,4.90%,16.50%,39.90%,18.40%,4.20%,12.90%,36.60%
House District 59,Representative Lauren McNally,HD59.jpg,"123,166","6,770","18,426","24,776","47,509","25,685","87,372","26,401",220,649,13,"2,267","6,244","38,703","8,028","9,281","35,138","24,884","17,765","55,786","25,206","48,942","10,963","5,818","7,807","32,927","7,343","10,880","20,214",5.50%,15.00%,20.10%,38.60%,20.90%,70.90%,21.40%,0.20%,0.60%,<0.05%,1.90%,5.40%,31.40%,6.50%,10.70%,40.40%,28.60%,20.40%,58.20%,21.30%,41.40%,9.30%,16.50%,54.50%,27.50%,6.10%,21.10%,39.20%
House District 60,Representative Kris Jordan,HD60.jpg,"111,031","6,583","21,714","18,786","47,419","16,529","96,243","3,285",114,"5,887",-,892,"4,610","16,063","2,841","2,395","13,566","17,652","40,111","58,244","5,578","12,954","2,421","5,108","3,060","6,247","5,142","1,893","10,872",5.90%,19.60%,16.90%,42.70%,14.90%,86.70%,3.00%,0.10%,5.00%,-,0.80%,4.00%,14.50%,2.60%,3.20%,18.40%,23.90%,54.40%,69.50%,5.20%,12.00%,2.20%,15.90%,39.90%,5.70%,4.70%,4.70%,27.10%
House District 61,Representative Beth Lear,HD61.jpg,"121,008","7,227","24,596","22,016","50,645","16,524","102,115","4,458",35,"9,192",37,678,"4,493","20,845","3,244","2,443","14,678","20,323","42,638","65,549","6,408","13,755","3,188","5,614","2,636","7,723","5,633","1,738","10,486",6.00%,20.30%,18.20%,41.90%,13.70%,84.40%,3.70%,0.00%,7.90%,<0.05%,0.60%,3.90%,17.20%,2.70%,3.10%,18.30%,25.40%,53.20%,70.80%,5.30%,11.40%,2.60%,16.10%,29.80%,6.40%,4.70%,3.90%,23.50%
House District 62,Representative Jean Schmidt,HD62.jpg,"123,765","7,003","21,718","24,245","49,703","21,096","114,857","2,002",73,"2,084",-,693,"4,056","10,954","3,004","5,828","25,294","25,415","29,375","65,953","8,794","25,877","4,522","6,027","5,356","13,938","5,813","2,932","15,388",5.70%,17.50%,19.60%,40.20%,17.00%,92.80%,1.60%,0.10%,1.80%,-,0.60%,3.50%,8.90%,2.40%,6.80%,29.40%,29.60%,34.20%,67.70%,7.20%,21.10%,3.70%,17.00%,40.10%,11.30%,4.70%,5.90%,31.00%
House District 63,Representative Adam Bird,HD63.jpg,"113,979","6,564","19,622","23,228","46,240","18,325","109,467",965,96,781,15,492,"2,163","5,473","1,622","10,583","30,419","21,795","15,920","56,482","14,247","32,005","6,769","5,849","3,815","20,758","7,754","5,526","15,232",5.80%,17.20%,20.40%,40.60%,16.10%,96.00%,0.80%,0.10%,0.70%,<0.05%,0.40%,1.90%,4.80%,1.40%,13.40%,38.60%,27.70%,20.20%,63.00%,12.70%,28.50%,6.00%,18.10%,40.10%,18.40%,6.90%,12.70%,35.00%
House District 64,Representative Nick Santucci,HD64.jpg,"122,794","6,407","17,844","24,960","47,609","25,974","102,400","13,420",66,944,-,430,"5,534","22,158","3,059","9,131","38,044","23,526","17,994","54,488","22,911","47,101","10,292","5,252","7,907","31,425","7,073","8,027","21,314",5.20%,14.50%,20.30%,38.80%,21.20%,83.40%,10.90%,0.10%,0.80%,-,0.40%,4.70%,18.00%,2.50%,10.30%,42.90%,26.50%,20.30%,55.40%,19.20%,39.40%,8.60%,15.10%,49.00%,26.20%,5.90%,15.20%,40.30%
House District 65,Representative Mike Loychik,HD65.jpg,"119,626","7,018","20,459","21,811","46,035","24,303","112,763","2,897",50,429,131,193,"3,163","7,748","1,428","10,460","37,259","21,792","13,769","54,533","16,800","41,198","6,546","6,092","3,763","21,459","11,814","5,201","18,433",5.90%,17.10%,18.20%,38.50%,20.30%,94.30%,2.40%,0.00%,0.40%,0.10%,0.20%,2.70%,6.50%,1.20%,12.60%,44.70%,26.20%,16.50%,57.90%,14.20%,34.80%,5.50%,16.50%,45.60%,18.10%,10.00%,11.10%,39.40%
House District 66,Representative Sharon Ray,HD66.jpg,"114,399","5,895","19,640","20,148","47,563","21,153","107,838","1,411",260,"1,382",-,387,"3,121","7,518","2,407","3,581","23,020","22,730","31,276","61,595","6,559","18,532","2,892","5,386","3,279","8,997","3,952","2,649","14,412",5.20%,17.20%,17.60%,41.60%,18.50%,94.30%,1.20%,0.20%,1.20%,-,0.30%,2.70%,6.60%,2.10%,4.40%,28.60%,28.20%,38.80%,67.40%,5.80%,16.40%,2.60%,15.10%,39.00%,7.90%,3.50%,5.90%,31.90%
House District 67,Representative Melanie Miller,HD67.jpg,"119,707","6,380","20,414","24,033","47,594","21,286","113,341","1,493",111,861,-,338,"3,563","7,836","2,752","6,338","30,420","24,132","21,185","62,426","10,022","28,203","4,814","6,209","3,675","14,360","6,817","3,549","15,224",5.30%,17.10%,20.10%,39.80%,17.80%,94.70%,1.20%,0.10%,0.70%,-,0.30%,3.10%,6.50%,2.30%,7.70%,37.10%,29.40%,25.80%,66.80%,8.60%,24.10%,4.10%,17.00%,40.10%,12.10%,5.70%,7.60%,32.60%
House District 68,Representative Thad Claggett,HD68.jpg,"105,367","6,071","17,019","23,403","41,260","17,614","95,791","2,974",168,"1,850",13,562,"4,009","11,129","2,630","5,073","23,900","22,136","20,811","52,138","10,279","25,881","4,709","4,366","4,584","16,012","6,547","4,706","13,280",5.80%,16.20%,22.20%,39.20%,16.70%,90.90%,2.80%,0.10%,1.60%,<0.05%,0.50%,3.40%,10.60%,2.50%,7.10%,33.20%,30.80%,28.90%,63.90%,10.10%,25.50%,4.60%,15.70%,38.50%,15.30%,6.30%,11.70%,32.90%
House District 69,Representative Kevin Miller,HD69.jpg,"132,443","7,997","23,923","24,741","53,574","22,208","120,336","5,432",215,"1,950",89,407,"4,014","13,041","1,786","6,756","33,409","28,549","21,702","63,032","12,672","30,913","5,340","6,264","3,649","20,756","7,424","5,443","16,776",6.00%,18.10%,18.70%,40.50%,16.80%,90.90%,4.10%,0.20%,1.70%,0.10%,0.30%,3.40%,9.80%,1.30%,7.50%,37.00%,31.60%,24.00%,61.80%,9.80%,23.80%,4.10%,16.40%,42.60%,16.00%,5.70%,11.40%,35.10%
House District 70,Representative Brian Lampton,HD70.jpg,"114,615","6,520","17,718","28,047","43,483","18,847","96,080","5,835",123,"4,533",53,"1,084","6,907","20,482","3,823","3,770","14,461","23,575","36,447","56,849","10,688","23,636","5,381","4,261","5,815","11,061","5,265","3,017","12,364",5.70%,15.50%,24.50%,37.90%,16.40%,83.80%,5.10%,0.10%,3.90%,<0.05%,0.90%,5.90%,17.90%,3.30%,4.80%,18.50%,30.10%,46.60%,64.70%,9.60%,21.30%,4.80%,14.00%,38.90%,9.90%,4.70%,6.50%,26.70%
House District 71,Representative Bill Dean,HD71.jpg,"114,249","5,955","18,036","25,904","43,186","21,168","102,583","5,885",94,827,80,967,"3,813","12,771","2,435","6,432","27,220","24,671","19,007","53,421","13,641","32,167","6,086","4,903","4,900","19,630","6,239","5,399","16,224",5.20%,15.80%,22.70%,37.80%,18.50%,89.80%,5.20%,0.10%,0.70%,0.10%,0.80%,3.30%,11.20%,2.10%,8.30%,35.20%,31.90%,24.60%,61.90%,12.70%,30.00%,5.70%,15.50%,41.90%,17.40%,5.50%,12.10%,36.20%
House District 72,Representative Gail Pavliga,HD72.jpg,"120,395","5,128","16,397","35,380","44,240","19,250","104,838","6,658",142,"2,787",36,612,"5,322","16,650","2,626","5,678","27,418","18,761","25,376","63,375","13,936","32,555","6,178","5,469","7,861","18,351","6,184","5,428","15,260",4.30%,13.60%,29.40%,36.70%,16.00%,87.10%,5.50%,0.10%,2.40%,<0.05%,0.50%,4.60%,13.80%,2.20%,7.40%,35.50%,24.30%,32.90%,67.40%,12.40%,28.90%,5.50%,17.30%,55.40%,15.40%,5.20%,11.50%,32.40%
House District 73,Representative Jeffrey LaRe,HD73.jpg,"118,629","7,255","22,352","23,995","47,266","17,761","97,616","11,860",33,"3,044",42,"1,311","4,723","22,265","3,453","5,146","24,388","23,282","26,384","61,001","10,103","26,738","3,764","5,342","5,536","16,266","7,526","4,328","13,152",6.10%,18.80%,20.20%,39.80%,15.00%,82.30%,10.00%,0.00%,2.60%,<0.05%,1.10%,4.10%,18.80%,2.90%,6.50%,30.80%,29.40%,33.30%,67.00%,8.60%,22.80%,3.20%,16.70%,49.30%,13.90%,6.40%,9.90%,30.00%
House District 74,Representative Bernard Willis,HD74.jpg,"116,257","7,254","19,778","24,685","42,533","22,007","97,665","10,806",94,743,48,"1,307","5,594","21,341","4,594","9,497","29,684","25,154","14,120","54,171","18,640","42,377","8,897","5,344","6,000","28,730","7,818","9,175","17,341",6.20%,17.00%,21.20%,36.60%,18.90%,84.00%,9.30%,0.10%,0.60%,<0.05%,1.10%,4.80%,18.40%,4.00%,12.10%,37.80%,32.10%,18.00%,60.60%,16.50%,37.60%,7.90%,17.50%,39.80%,25.00%,6.80%,19.60%,37.00%
House District 75,Representative Haraz Ghanbari,HD75.jpg,"115,542","5,801","17,849","35,028","39,851","17,013","103,306","2,689",258,"2,208",124,"1,445","5,512","15,151","6,814","3,271","19,952","20,417","27,196","61,476","13,944","28,369","6,477","4,518","6,663","11,411","4,622","2,993","12,238",5.00%,15.40%,30.30%,34.50%,14.70%,89.40%,2.30%,0.20%,1.90%,0.10%,1.20%,4.70%,13.10%,5.90%,4.60%,28.20%,28.80%,38.40%,69.20%,12.70%,25.90%,5.90%,15.70%,40.40%,10.00%,4.00%,6.50%,26.50%
House District 76,Representative Marilyn John,HD76.jpg,"124,504","7,157","20,133","25,646","47,420","24,148","106,947","10,284",140,"1,057",139,780,"5,157","18,924","2,595","10,043","35,288","26,103","15,501","56,762","15,925","40,665","6,715","5,549","6,792","22,442","9,046","7,280","18,867",5.70%,16.20%,20.60%,38.10%,19.40%,85.90%,8.30%,0.10%,0.90%,0.10%,0.70%,4.40%,15.20%,2.10%,11.60%,40.60%,30.00%,17.80%,60.80%,13.60%,34.80%,5.70%,16.70%,44.80%,19.00%,7.70%,14.70%,38.10%
House District 77,Representative Scott Wiggam,HD77.jpg,"116,858","7,581","20,988","24,980","42,494","20,815","110,208","1,529",112,"1,272",16,"1,214","2,507","7,675","2,438","10,680","29,573","18,535","17,954","55,150","11,258","33,252","3,910","5,071","3,514","13,809","16,375","3,528","15,373",6.50%,18.00%,21.40%,36.40%,17.80%,94.30%,1.30%,0.10%,1.10%,<0.05%,1.00%,2.20%,6.60%,2.10%,13.90%,38.50%,24.20%,23.40%,63.40%,10.00%,29.60%,3.50%,15.50%,34.50%,11.90%,14.10%,8.00%,35.00%
House District 78,Representative Susan Manchester,HD78.jpg,"114,200","6,794","19,986","24,352","42,693","20,375","94,795","11,638",189,876,20,"1,318","5,364","21,292","3,699","6,598","31,421","24,276","14,446","54,728","13,315","34,683","6,176","4,348","5,827","19,250","6,999","5,793","15,895",5.90%,17.50%,21.30%,37.40%,17.80%,83.00%,10.20%,0.20%,0.80%,<0.05%,1.10%,4.60%,18.60%,3.20%,8.60%,40.90%,31.60%,18.80%,63.40%,12.10%,31.60%,5.60%,14.10%,43.80%,17.30%,6.30%,12.80%,35.10%
House District 79,Representative Monica Robb Blasdel,HD79.jpg,"114,952","5,761","18,089","21,197","46,344","23,561","108,184","2,389",103,398,9,642,"3,227","7,944","2,267","8,840","37,351","23,385","12,878","53,985","15,012","37,438","7,143","4,996","4,537","21,293","7,720","6,803","17,302",5.00%,15.70%,18.40%,40.30%,20.50%,94.10%,2.10%,0.10%,0.30%,<0.05%,0.60%,2.80%,6.90%,2.00%,10.70%,45.30%,28.40%,15.60%,59.80%,13.50%,33.70%,6.40%,14.80%,42.20%,19.10%,6.90%,14.50%,36.90%
House District 80,Representative Jena Powell,HD80.jpg,"123,666","7,426","21,512","23,516","48,486","22,726","114,971","2,282",157,"1,673",10,516,"4,057","9,806","2,098","5,996","33,372","26,639","19,703","63,741","9,640","30,759","4,384","5,686","4,254","15,689","6,503","3,589","16,857",6.00%,17.40%,19.00%,39.20%,18.40%,93.00%,1.80%,0.10%,1.40%,<0.05%,0.40%,3.50%,7.90%,1.70%,7.00%,38.90%,31.10%,23.00%,65.50%,7.90%,25.10%,3.60%,15.70%,34.60%,12.80%,5.30%,7.30%,34.10%
House District 81,Representative James Hoops,HD81.jpg,"114,604","6,551","20,454","21,915","44,859","20,825","105,983",712,427,483,76,"2,750","4,173","11,455","8,167","5,696","34,002","25,910","13,137","57,498","10,585","31,389","4,610","5,169","3,057","16,191","6,590","4,105","15,789",5.70%,17.80%,19.10%,39.10%,18.20%,92.50%,0.60%,0.40%,0.40%,0.10%,2.40%,3.60%,10.00%,7.10%,7.20%,43.20%,32.90%,16.70%,64.70%,9.40%,27.90%,4.10%,14.40%,35.70%,14.30%,5.80%,9.00%,34.80%
House District 82,Representative Roy Klopfenstein,HD82.jpg,"113,139","6,976","20,040","21,621","43,633","20,869","104,688","1,209",260,242,15,"2,732","3,993","11,583","7,941","5,743","32,321","23,992","15,230","57,183","10,047","27,347","4,382","4,436","3,013","13,800","4,598","4,040","15,802",6.20%,17.70%,19.10%,38.60%,18.40%,92.50%,1.10%,0.20%,0.20%,<0.05%,2.30%,3.40%,10.20%,7.00%,7.40%,41.80%,31.00%,19.70%,64.70%,9.00%,24.50%,3.90%,12.40%,36.50%,12.30%,4.10%,9.00%,35.20%
House District 83,Representative Jon Cross,HD83.jpg,"121,040","7,104","19,694","27,667","45,604","20,971","112,318","1,718",80,"1,765",23,"1,982","3,154","11,464","5,274","6,033","33,018","22,727","19,522","59,313","14,886","34,921","6,333","5,225","4,562","17,565","7,684","5,126","16,516",5.90%,16.30%,22.90%,37.70%,17.30%,92.80%,1.40%,0.10%,1.50%,<0.05%,1.70%,2.70%,9.50%,4.40%,7.40%,40.60%,28.00%,24.00%,63.70%,12.80%,30.00%,5.40%,15.00%,36.10%,14.60%,6.40%,10.50%,33.70%
House District 84,Representative Angela King,HD84.jpg,"112,770","7,325","20,560","21,427","42,588","20,870","108,538",827,42,425,360,513,"2,065","5,542","2,271","5,640","32,931","22,114","15,073","58,371","8,881","27,750","3,258","4,171","3,357","11,581","5,362","3,210","15,384",6.50%,18.20%,19.00%,37.80%,18.50%,96.20%,0.70%,0.00%,0.40%,0.30%,0.40%,1.80%,4.90%,2.00%,7.40%,43.50%,29.20%,19.90%,67.50%,8.00%,25.00%,2.90%,12.50%,32.90%,10.40%,4.80%,7.20%,34.30%
House District 85,Representative Tim Barhorst,HD85.jpg,"117,819","7,165","21,063","23,270","46,040","20,281","109,805","2,411",234,807,23,501,"4,038","9,328","2,031","7,154","34,330","24,291","14,399","60,251","11,566","30,889","4,543","5,232","4,083","16,805","5,587","4,572","15,649",6.10%,17.90%,19.80%,39.10%,17.20%,93.20%,2.00%,0.20%,0.70%,<0.05%,0.40%,3.50%,7.90%,1.70%,8.90%,42.80%,30.30%,18.00%,65.70%,10.00%,26.70%,3.90%,15.50%,34.70%,14.40%,4.80%,9.80%,33.60%
House District 86,Representative Tracy Richardson,HD86.jpg,"112,613","6,946","19,420","24,596","45,830","15,821","99,224","4,860",176,"3,485",73,705,"4,090","14,630","2,830","6,254","28,578","21,910","20,410","53,593","10,887","26,404","5,582","4,100","4,146","16,022","5,459","3,903","12,137",6.20%,17.20%,21.80%,40.70%,14.00%,88.10%,4.30%,0.20%,3.00%,0.10%,0.60%,3.50%,13.00%,2.50%,8.10%,37.00%,28.40%,26.50%,66.70%,10.50%,25.50%,5.40%,14.30%,41.50%,15.40%,5.20%,9.80%,30.50%
House District 87,Representative Riordan McClain,HD87.jpg,"113,435","6,158","18,785","20,430","45,801","22,261","108,496",837,47,625,3,486,"2,941","5,825","2,325","7,374","36,715","23,389","12,721","56,540","11,732","34,368","4,830","5,180","3,759","18,866","8,045","5,254","16,815",5.40%,16.60%,18.00%,40.40%,19.60%,95.60%,0.70%,0.00%,0.50%,<0.05%,0.40%,2.50%,5.10%,2.00%,9.20%,45.80%,29.20%,15.90%,62.50%,10.50%,30.80%,4.30%,15.00%,36.70%,16.80%,7.20%,11.40%,36.40%
House District 88,Representative Gary Click,HD88.jpg,"114,179","6,230","19,066","23,438","44,439","21,006","103,108","3,440",441,610,21,"1,793","4,766","15,980","9,117","5,674","34,122","24,761","14,200","56,129","13,825","34,486","6,982","4,564","4,666","19,474","6,378","5,616","15,545",5.50%,16.70%,20.50%,38.90%,18.40%,90.30%,3.00%,0.40%,0.50%,<0.05%,1.50%,4.10%,14.00%,8.00%,7.20%,43.30%,31.40%,18.00%,63.90%,12.60%,31.40%,6.40%,13.90%,40.90%,17.30%,5.70%,12.30%,34.00%
House District 89,Representative D.J. Swearingen,HD89.jpg,"115,973","6,059","18,254","21,620","45,141","24,899","101,020","7,338",327,729,33,"1,444","5,082","18,041","6,040","7,594","33,503","24,729","17,420","56,468","14,903","35,949","7,094","5,620","5,356","19,056","6,687","5,519","18,473",5.20%,15.70%,18.60%,38.90%,21.50%,87.10%,6.30%,0.30%,0.60%,<0.05%,1.20%,4.40%,15.60%,5.20%,9.10%,40.20%,29.70%,20.90%,61.20%,13.00%,31.50%,6.20%,16.00%,44.30%,16.60%,5.80%,11.30%,37.70%
House District 90,Representative Brian Baldridge,HD90.jpg,"115,556","6,586","19,315","23,199","45,085","21,371","109,361","2,289",230,403,24,304,"2,945","7,206","1,667","11,585","34,331","21,501","13,081","44,640","24,314","48,407","10,766","5,937","5,200","33,362","7,904","10,334","18,638",5.70%,16.70%,20.10%,39.00%,18.50%,94.60%,2.00%,0.20%,0.30%,<0.05%,0.30%,2.50%,6.20%,1.40%,14.40%,42.60%,26.70%,16.30%,50.20%,21.80%,43.40%,9.70%,19.40%,49.20%,29.70%,7.00%,23.60%,42.50%
House District 91,Representative Bob Peterson,HD91.jpg,"113,135","7,026","20,097","21,691","44,443","19,878","107,024","1,749",311,512,135,424,"2,980","6,711","1,506","11,703","34,674","19,765","11,181","50,030","19,358","44,039","8,469","5,542","4,626","28,447","8,644","8,086","16,402",6.20%,17.80%,19.20%,39.30%,17.60%,94.60%,1.50%,0.30%,0.40%,0.10%,0.40%,2.60%,5.90%,1.30%,15.10%,44.80%,25.60%,14.50%,56.90%,17.40%,39.60%,7.60%,18.40%,40.10%,25.40%,7.70%,18.50%,37.50%
House District 92,Representative Mark Johnson,HD92.jpg,"118,509","6,184","19,029","23,599","49,479","20,218","109,346","4,521",75,414,32,537,"3,584","9,846","1,474","10,562","36,866","23,831","12,973","52,810","18,198","38,051","8,069","4,713","5,654","26,520","6,747","8,397","16,591",5.20%,16.10%,19.90%,41.80%,17.10%,92.30%,3.80%,0.10%,0.40%,<0.05%,0.50%,3.10%,8.30%,1.20%,12.50%,43.80%,28.30%,15.40%,58.60%,16.20%,33.90%,7.20%,14.40%,51.00%,23.60%,6.00%,18.40%,36.40%
House District 93,Representative Jason Stephens,HD93.jpg,"120,470","7,280","20,202","23,894","47,169","21,925","114,027","1,706",166,646,13,495,"3,417","6,939","1,368","10,352","36,867","22,577","13,817","51,805","20,969","44,637","8,375","6,719","4,569","30,536","8,200","9,278","18,182",6.00%,16.80%,19.80%,39.20%,18.20%,94.70%,1.40%,0.10%,0.60%,<0.05%,0.40%,2.90%,5.80%,1.10%,12.40%,44.10%,27.00%,16.50%,54.90%,17.70%,37.80%,7.10%,19.80%,43.90%,25.60%,6.90%,20.10%,39.30%
House District 94,Representative Jay Edwards,HD94.jpg,"114,491","4,807","15,066","34,658","40,701","19,259","106,264","2,295",126,"1,788",48,428,"3,542","9,470","1,817","8,313","27,174","20,470","17,243","48,929","22,108","42,844","11,257","5,004","6,702","22,060","7,750","7,293","14,569",4.20%,13.20%,30.30%,35.50%,16.80%,92.80%,2.00%,0.10%,1.50%,<0.05%,0.40%,3.00%,8.30%,1.60%,11.40%,37.10%,28.00%,23.60%,55.80%,21.10%,40.90%,10.70%,17.30%,55.50%,19.50%,6.80%,16.80%,33.60%
House District 95,Representative Don Jones,HD95.jpg,"115,148","5,386","17,613","21,598","45,692","24,859","108,557","3,009",241,531,21,714,"2,075","7,154","1,204","8,802","36,485","23,541","14,550","49,435","14,601","35,352","6,088","5,108","3,659","20,656","9,065","5,046","17,720",4.70%,15.30%,18.80%,39.70%,21.60%,94.30%,2.60%,0.20%,0.50%,<0.05%,0.60%,1.80%,6.20%,1.00%,10.60%,43.80%,28.20%,17.50%,56.30%,13.60%,32.90%,5.70%,15.50%,42.40%,19.00%,8.30%,11.70%,40.90%
House District 96,Representative Ron Ferguson,HD96.jpg,"115,516","6,012","16,695","23,011","45,310","24,488","106,404","4,642",46,597,29,435,"3,363","9,912","1,402","6,647","38,116","24,960","13,343","51,792","17,635","40,587","8,146","4,425","4,440","23,009","6,822","7,269","18,346",5.20%,14.50%,19.90%,39.20%,21.20%,92.10%,4.00%,0.00%,0.50%,<0.05%,0.40%,2.90%,8.60%,1.20%,8.00%,45.90%,30.00%,16.10%,56.00%,15.70%,36.10%,7.20%,13.00%,42.50%,20.10%,6.00%,15.40%,38.90%
House District 97,Representative Adam Holmes,HD97.jpg,"113,924","6,776","19,183","24,035","43,580","20,350","104,610","3,341",109,495,-,874,"4,495","9,816","1,476","8,324","33,623","22,601","13,651","52,919","18,505","39,359","8,591","5,426","6,157","25,833","7,313","8,568","16,770",5.90%,16.80%,21.10%,38.30%,17.90%,91.80%,2.90%,0.10%,0.40%,-,0.70%,3.90%,8.60%,1.30%,10.60%,43.00%,28.90%,17.50%,59.90%,16.70%,35.40%,7.70%,17.30%,48.50%,22.90%,6.50%,18.80%,36.90%
